topic_id,total_articles,unique_sources,source_concentration,recent_count,previous_count,recent_share,growth_ratio,growth_percent,first_seen,last_seen,active_months,top_sources,representative_titles
0,27,12,0.222,15,6,0.556,2.286,150.0,2024-01-25 08:00:00,2026-07-20 07:00:00,16,Future Market Insights | PR Newswire UK | Fortune Business Insights | Grand View Research | Global Data,"Apparel Market Size, Share, Future Trends & Forecast, 2034 - Fortune Business Insights | Europe Activewear Market Size, Share & Growth Report, 2034 - Market Data Forecast | Sports and Athletic Insoles Market to Reach USD 8.4 Billion by 2036 Driven by Rising Sports Participation, AI-Powered Foot Scanning, and Growing Demand for Performance Footwear Solutions - PR Newswire UK | Winter Sports Equipment Market Size, Share | Growth [2034] - Fortune Business Insights | Licensed Sports Merchandise Market to Reach USD 64.6 Billion by 2036 Amid Growing Demand for Official Fan Apparel and Digital Retail Expansion | Future Market Insights, Inc. - PR Newswire UK"
1,18,16,0.111,3,5,0.167,0.667,-40.0,2024-02-29 08:00:00,2026-08-05 14:57:28,15,fashionunited.uk | Retail Week | Breaking The Lines | Retail Times | Marie Claire UK,From stadiums to street style: Sports-fashion partnerships win over UK consumers - YouGov | How Southbook Is Adapting to Changing Sports Consumption Habits - Ubiratã Online Notícias | Harry Styles Is Leading the Secondhand Sportswear Trend—19 Picks We're Also Loving - Marie Claire UK | JD Sports to allow customers to shop via AI platforms - businesscloud.co.uk | ‘Get ready with me’: how beauty brands can win in sport - The Drum
2,15,9,0.333,3,3,0.2,1.0,0.0,2024-02-21 08:00:00,2026-06-17 07:00:00,13,Mintel | Deloitte | Odgers Interim | Home of Direct Commerce | YouGov,Digital Consumer Trends 2026 - Deloitte | Endless Aisle Live: Footasylum talks NewStore retail technology powered omnichannel transformation journey - Retail Technology Innovation Hub | Retail & Consumer Trends 2026 - Deloitte | Circana to Launch POS Market Measurement for Consumer Tech in the UK - Circana | 10 Key Consumer Behavior Trends (2025 & 2026) - Exploding Topics
4,10,9,0.2,2,4,0.2,0.6,-50.0,2024-03-20 07:00:00,2026-02-18 08:00:00,7,The Business of Fashion | Mintel | fashionunited.uk | McKinsey & Company | The Independent,European Union rules: how UK fashion retailers are cracking the continent - Drapers | Shopping with AI and the key consumer changes defining fashion in 2026 - The Independent | Fashion Enters Its Wellbeing Era - The Business of Fashion | Fashion Retail Outlook 2026 | Strategy& - PwC | The State of Fashion 2026: When the rules change - McKinsey & Company
6,9,7,0.333,2,3,0.222,0.75,-33.3,2025-01-15 08:00:00,2026-05-06 07:00:00,7,British Vogue | Retail Times | Vogue Adria | Glamour UK | CNBC,"Wearable patches: How Barrière is trying to disrupt the supplement industry - CNBC | I tried 2026's biggest wellness trends - and these are the ones that changed my life - Glamour UK | 6 wellness trends that will change how we take care of ourselves in 2026 - Vogue Adria | The 6 Biggest Wellness Trends Coming In 2026 - British Vogue | How wellness looks across the US and UK: Similar goals, different habits - YouGov"
5,10,10,0.1,1,6,0.1,0.286,-83.3,2025-01-06 08:00:00,2026-04-29 07:00:00,7,Forbes | FashionUnited | British Vogue | LinkedIn | Women's Health,"Fashion Insiders Rely On These Activewear Brands For A Reason - ELLE | The coolest activewear brands to know in 2026, tried and tested - cosmopolitan.com | 16 Best Activewear Brands To Get You Into Gear In 2026 - British Vogue | The best activewear brands to help you hit your 2026 goals - British GQ | 5 It-Girl Activewear Brands You Need Now - Forbes"
3,14,9,0.357,1,2,0.071,0.667,-50.0,2024-01-13 23:28:17,2026-04-16 07:00:00,11,About Nike | Business Strategy Hub | coca-colacompany.com | vergemagazine.co.uk | Daxue Consulting,"Nike introduces interactive AR mirror experience at JD Oxford Street - FashionNetwork France | Nike, Adidas hold UK sportswear top spots as demand shifts to kids - Just Style | Nike Creates New Innovation Engine to Power Athletes Faster — NIKE, Inc. - About Nike | Nike Marketing Strategy - Business Strategy Hub | Nike FlyWeb Is the Future of Performance Apparel — NIKE, Inc. - About Nike"
